Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
#0132106,SALINAS CA,DES MOINES IA,07/29/2022 1000,"$4,700.00","18plt/ 23,460 lb",
1059644,"GILROY, CA","BOLINGBROOK, IL",07/25/2022 @ 1300,"$4,800.00","19 pallets 38,000 lb",
27230498,"Morgan Hill, CA","Normal, IL",07/27/2022 @1400,"$4,700.00","26plt/ 8,190 Lb",
34279,SPARKS NV,MOBERLY MO,07/27/22,"$4,100.00","14plt/ 4,755 Lb",
1059694,"MERCED, CA","CINCINNATI, OH",07/26/2022 @ 1500,"$3,800.00","10 pallets 17,000 lb",
34278,SPARKS NV,MOBERLY MO,07/27/22,"$4,100.00","16plt/ 4,755 Lb",
#03-5015511,"GILROY, CA","INDEPENDENCE, MO",07/29/2022 10:00,"$4,150.00","26plt/ 18,000 Lb",
#0132247,SALINAS CA,AURORA CO,07/29/2022 1000,"$3,800.00","16plt/ 22,808 lb",
#0132248,SALINAS CA,AURORA CO,07/29/2022 0800,"$3,800.00","13plt/ 26,002 lb",
T2570730,HAYWARD CA,DYERSBURG TN,7/28/2022 8:00-15:30,$4.400.00,6PlT 3000LB,
#0132103,SALINAS CA,DES MOINES IA,07/29/2022 1000,"$4,700.00","27plt/ 29,811 Lb",
2247767,"VINA, CA TERRA BELLA , CA","LOXLEY, AL Warehouse Hryshuk paid cash $300",07/27/22 @1430 07/28,"$5,266.50","16 plt/ 15,000 Lb",
1059688******,"FIREBAUGH, CA","GRETNA, LA",7/28/2022 12:00:00 0,"$5,000.00","20plt/ 25,232 Lb",
113975139,"Castroville, CA","Hammond, LA + Baldwin, FL",7/30/2022 12:00 AM,$7.800.00,26PLT 36.000,
82835***,"AMERICAN CANYON, CA","RONKONKOMA, NY",8/02 @0900,"$8,000.00","14plt/ 28,420 Lb",
1059961***,"MERCED, CA","HUNT VALLEY, MD",08/04/22 @1130,"$6,800.00","27 plt/ 12,319 lb",
LD29814SH***,"Sebastopol, CA","BALTIMORE, MD",8/4/2022 @11:30:00,"$6,300.00","15plt/ 29,304 Lb",LD SH
443496***,"RENO, NV","HANOVER, MD",08/02/2022,$6.100.00,5 PIECES 775 lbs.,
T2576062***,HAYWARD CA,JACKSON OH,8/4/2022 8:00-15:30,$5.300.00,"Pieces: 14 PLT Weight: 6,074",
1059896***,"FIREBAUGH, CA","HUNT VALLEY, MD",8/2 @1130,"$6,800.00","26plt/ 27,222Lb",Rejected Bugs
4587479**,"TRACY, CA","DENVER, PA",08/03/2022 @ 1500,"$6,400.00","36plt/ 10,623 lb",
1059966***,"FIREBAUGH, CA","HUNT VALLEY, MD** ROSEDALE, MD",8/3 @1200 08/04,"$7,000.00","18plt/ 24,952 Lb",
1170274,"Los banos,CA",CHAMBERSBURG PA,8/5 @0500-1400,"$6,800.00",21PLT 39000LB,
T2575319,"Hayward,CA",HARMARVILLE PA,8/2/2022 12:15:30,$5.800.00,87plt/ 11.000LB,
T2576596,HAYWARD CA,CHARDON OH,8/5/2022 8:00-15:30,$4.700.00,"12 PLT Weight: 5,617",
T2576861,HAYWARD CA,"LITTLE FALLS, MN",8/5/2022 8:00-15:30,$4.200.00,"10 PLT Weight: 5,617",
T2576588,HAYWARD CA,MC CONNELSVILLE OH,8/5/2022 8:00-15:30,$4.550.00,"12 PLT Weight: 5,617",
T2576589,HAYWARD CA,PATASKALA OH,8/5/2022 8:00-15:30,$4.700.00,"12 PLT Weight: 5,617",
3036812,"Woodland, CA","Fremont, IA",85 @1200,"$3,800.00","44plt/ 14,453 Lb",
82836,"AMERICAN CANYON, CA","MEDLEY, FL",8/01 @1500,"$8,000.00","20plt/ 40,320 Lb",
34329***,SPARKS NV,COOKEVILLE TN,08/01/2022,"$4,900.00","21 pallets 12,000 lb",
34360***,SPARKS NV,COOKEVILLE TN,08/01/2022,"$5,000.00","18 pallets 12,000 lb",
34365***,SPARKS NV,COOKEVILLE TN,08/01/2022,"$5,000.00","23 pallets 12,000 lb",
34304***,SPARKS NV,MOBERLY MO,07/28/22,"$4,100.00","16plt/ 4,755 Lb",
34363***,SPARKS NV,COOKEVILLE TN,08/01/2022,"$5,000.00","21 pallets 12,000 lb",
4030511,"BENICIA, CA","MARIETTA, GA NORCROSS, GA",8/3 @1300-1700,"$6,800.00","1st 8plt 2nd  20 plt 41,681 Lb",
3347067,"RENO, NV",MIAMI FL,8/2/22 - 8am,$7.000.00,2 PC 3100LB,
T2576594,HAYWARD CA,NAVARRE FL,8/5/2022 8:00-15:30,$4.800.00,"12 PLT Weight: 5,617",
4202785,"RENO, NV","IMMOKALEE, FL",8/5/22 - 10am,$6.500.00,4PC 3000LB,
5455746,"IMMOKALEE, FL","MIAMI, FL",8/12/22 - 8am,$1.000.00,3PC 580LB,
34415***,SPARKS NV,FORT WORTH TX,8/4 @0800-1600,"$4,000.00","23plt/ 11,207 Lb",
34414***,SPARKS NV,FORT WORTH TX,8/4 @0800-1600,"$4,000.00","23plt/ 11,207 Lb",
T2576599,HAYWARD CA,SEAGOVILLE TX,8/5/2022 8:00-15:30,$3.000.00,"12 PLT Weight: 5,617",
450066 / 212431,"RENO, NV","TULSA, OK",08/03/2022 14:00,$5.000.00,25000LB,
5442638,"RENO, NV",INDEPENDENCE CA,8/5/22 - 8am,$1.970.00,11 PC 2000 LB,
450826,"MIAMI, FL","RENO, NV",08/11/2022 8:00,$7.000.00,50 PC 13000LB,
#0132303,SALINAS CA,DES MOINES IA,8/8 @1200,"$4,700.00","19 plt/ 21,129 Lb",
193638,"Mccarren, NV","Gurnee, IL",8/9 @0800-1600,"$3,900.00","19plt/ 15,658 Lb",
50572458,ROHNERT PARK CA,LITHIA SPRINGS GA,8/8 @1500,"$5,200.00","20plt/ 13,063 Lb",
82837,"AMERICAN CANYON, CA","MEDLEY, FL",8/02 @1500,"$8,000.00","21plt/ 42,320 Lb",
$7.400.00,"Reno, NV","FORT LAUDERDALE, FL",8/9/22 - 8am,$7.000.00,70PC 8000LB,
82931,"CERES, CA","MEDLEY, FL",8/8 @1700,"$8,500.00","21plt/ 41,118 Lb",
3215431,"San Jose, CA","Forest Park, GA",8/9 @0900,"$4,900.00","18plt/ 16,290 Lb",
5700113,"RENO, NV","PHILADELPHIA, MS",8/10/22 - 8am,$4.400.00,20 PC 2200 LB,
307770,"Manteca, CA","LAKELAND, FL",08/08/2022 @ 12,"$5,350.00",?,
82834,"AMERICAN CANYON, CA","RONKONKOMA, NY",8/01 @0900,"$8,000.00","20pl/ 40,320 Lb",
307770,"Manteca, CA","TAYLOR, PA** LAKELAND, FL",8/11 @1000,"$5,350.00","4plt / 3,068 Lb",
50170286,"Modesto , CA",BLOOMFIELD CT,08/11/2022 9:00,$7.600.00,30 PLT 6200 LB,
114034572,"SAN JOSE, CA","LA VISTA, NE",8/10 @1100,"$3,500.00","8 plt/ 6,500 Lb",
50638970,FERNLEY NV,HURON OH,08/11/2022 8:00,"$5,000.00","29plt/ 36,337 Lb",
50638969,FERNLEY NV,HURON OH,08/11/2022 8:00,"$5,000.00","24plt/ 25,080 Lb",
#0132520,SALINAS CA,DES MOINES IA,8/12 @0930,"$4,700.00","17,637 Lb",
1174676,"Los banos,CA",CHAMBERSBURG PA,8/9,"$6,800.00",21PLT 39000LB,
2109776,"ELK GROVE, CA","RICHMOND, VA",8/12 @1300-1400,"$7,000.00","15,000 Lb",
5705277,"RENO, NV","JAMAICA, NY",8/11/22 - 9:30AM,$8.400.00,47 PC 4400LB,
1060111,"GILROY, CA","CHAMBERSBURG, PA",08/12/2022 1300,"$6,800.00","10 plt 23,408",
T2579908,"Hayward,CA",BRIDGETON NJ,8/12/2022 8:00-15:30,$6.100.00,11 PLT 5500 LB,
452291,"RENO, NV","MISSISSAUGA, ON",08/12/2022 11:00,$7.000.00,32 PC 4000LB,
34442,SPARKS NV,FORT WORTH TX,8/4 @0800-1600,"$4,250.00","20 plt/ 11,207 Lb",
452094,"RENO, NV","BILOXI, MS",08/11/2022,"$6,000.00","14 pcs 1,837 lb",
# 4035998,"BENICIA, CA","ELBERTA, AL * BESSEMER, AL* IRONDALE, AL* DORAVILLE, GA ATLANTA, GA",8/12/2022 @13:00:00,"$7,500.00","21plt/ 43,000 Lb",
34441,SPARKS NV,FORT WORTH TX,8/4 @0800-1600,"$4,250.00","21plt/ 15,000 Lb",
T2579905,"Hayward,CA",COMMERCE TX,8/12/2022 8:00-15:30,$3.300.00,11 PLT 5500LB,
T2579907,"Hayward,CA",TULLAHOMA TN,8/12/2022 8:00-15:30,$4.800.00,12 PLT 5600LB,
7950578,"RENO, NV","LK CHARLES, LA",08/12/2022 @ 1PM,"$5,600.00","1,828 16 pcs",
1060544***,"GILROY, CA","COLUMBUS, OH",8/19/2022 @13:00:00,$150.00,"8plt/ 6,412 Lb",
T2579958***,"Hayward,CA",PARIS KY,8/15/2022 9:00-16:00,$4.700.00,11 PLT 5200 LB,
25239513***,"WOODLAND, CA","KNOXVILLE, TN",08-15-2022,$4.000.00,6 Uhaul Box,
114070469****,"HAYWARD, CA","SADDLE BROOK, NJ",8/16 @0900,"$6,900.00","30plt/ 10,000 lb",
1591285***,"SAN JOSE, CA","HOPEWELL JUNCTION, NY",08/17/22,$7.500.00,"1 PLT 1,490 lbs.",
5704360***,"RENO, NV","YONKERS,NY",8/18/22 - 8am,$8.200.00,66PC 6800 LB,
1060316***,"FIREBAUGH, CA","HUNT VALLEY, MD",08/17/22 @10:30,"$6,000.00","26plt/ 27,222 Lb",
9625474***,"RENO, NV","SARATOGA SPRINGS, NY",8/17/22 - 9:30am,$7.600.00,10 machines and 1 pallets20 PC 2700LB,
3230029  DA***,"Visalia,CA","Denver,CO","Aug 16, 2022 3:00 PM",$3.400.00,"12PLT 8,200 LB",
1641881***,"Ripon, CA","Millersburg, OH",8/16 @1200,"$4,950.00","10plt/ 21,536 Lb",
7783690***,"RENO, NV","FLORENCE, KY",8/15/22 - 8am,$6.200.00,24 PC 4600 LB,
1641728***,"Lodi, CA","Millersburg, OH",8/16 @1345,"$5,000.00","13plt/ 30,489 Lb",
03-5051734**,FIREBAUGH CA,BATAVIA IL,08/15/2022 8:00 AM,$4.400.00,17PLT 21.000Lb,
20-0678225***,"VINA, CA WINTERS, CA KINGSBURG, CA","SAXONBURG, PA",08/17/2022 1000 08/1,$6.500.00,18PLT 16.900LB,
#0020992***,"Vina,CA  Vacaville,CA","Batavia,IL",8/17/2022 8:00Am  8/,$4.000.00,"25plt/ 15,200 LB",
7730035800***,"WILLIAMS, CA","Wellston, OH",8/18 by 14:00,"$5,725.00","13.0 PLT/ 40,000 lb",
134736***,"TRACY, CA","ALBANY, GA",8/16/2022 Before 13:,$5.800.00,52plt/ 15.500LB,
#0447133***,"Terra Bella, CA","Springfiled, OH",8/17 @1200,"$4,900.00","10plt/ 11,905 Lb",
50686310***,FERNLEY NV,HURON OH,08/18/2022 8:00,"$5,000.00","24plt/ 25,080 Lb",
#0132281**,GILROY CA,IRVING TX,8/18 @1130,"$3,600.00","11plt/ 23,408 Lb",
1060367***,"FRESNO, CA","THOMASVILLE, GA BAXLEY, GA",8/17 @1200,"$5,000.00","26plt/ 8,820 lb",
50736099**,WOODLAND CA,YORK PA,08/19/2022 8:00,"$6,100.00","26plt/ 34,720 Lb",
50757090,MODESTO CA,BLOOMFIELD CT,8/19 @1100,"$7,100.00","30plt/ 5,898 Lb",
564332***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/18/2022 @1900,$6.500.00,80PLT 25.000LB,
7730035829***,"WILLIAMS, CA   (II)","Wellston, OH",8/19 by 14:00,"$5,725.00","13.0 PLT/ 40,000 lb",
7730035799***,"WILLIAMS, CA  (I)","Wellston, OH",8/18 by 14:00,"$5,725.00","13.0 PLT/ 40,000 lb",
242588***,"Reno, NV","Tipp city, OH",8/19 @0900,"$3,900.00","25 machines/ 7,300 Lb",
3761718***,"ELK GRV, CA","RICHMOND, VA",8/19/2022 14:00,"$7,000.00","12crates / 15,000 lb",
T2585496,"Hayward,CA",SAINT CHARLES IL,8/19/2022 9:00-15:00,$3.600.00,"10 PLT 5,300 LB",
T2579949,"Hayward,CA",CENTRAL CITY KY,8/15/2022 9:00-16:00,$3.500.00,11PLT 6000LB,
7730035828**,"WILLIAMS, CA (III)","Wellston, OH",8/19 by 14:00,"$5,725.00","13.0 PLT/ 40,000 lb",
T2585506***,"Hayward,CA",INTERNATIONAL FALLS MN,8/19/2022 9:00-15:00,$5.000.00,11PLT 5500 LB,
564221***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/17/2022,$6.500.00,"71PLT/ 25,000LB",
564321***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/18/2022,$6.500.00,24PLT 20.000LB,
564220**,"LIVERMORE, CA","INDIANAPOLIS, IN",8/17/2022,$6.500.00,24PLT 20.000LB,
564219***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/17/2022,$6.500.00,24PLT 20.000LB,
564217***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/17/2022,$6.500.00,24PLT 20.000LB,
564329***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/18/2022 @1500,$6.500.00,24PLT 20.000LB,
564617***,"LIVERMORE, CA","INDIANAPOLIS, IN",8/18/2022 @1700,$6.500.00,24PLT 20.000LB,
5494473***,"RENO, NV","DOVER, DE",8/17/22 - 7:30am,$3.400.00,24 PC  4800LB,
450827***,"TEMECULA, CA",Reno NV,08/22/2022 9:00,$2.000.00,12PC 4300 LB,
214522***,"Reno,NV","CABAZON, CA",08/23/2022 8:00,$2.200.00,46 PC,
5355262***,"RENO, NV","MARYSVILLE, WA",8/26/22 - 8am,$5.500.00,80 PC 15500LB,
214433***,"RENO, NV","UNCASVILLE, CT",08/23/2022 11:00,$7.000.00,20PC,
1060494***,"FIREBAUGH, CA","HUNT VALLEY, MD",8/22 @1200,"$6,000.00","15plt/ 31,920 Lb",
1597282,"West Sacramento, CA","Bloomfield, CT",08/24/2022,$100.00,LOAD OUT,
9788545***,"RENO, NV","LATHAM, NY",8/23/22 - 8:00am,$7.780.00,46PC  9200LB,
1060555,"FIREBAUGH, CA","HUNT VALLEY, MD",8/23 @1130,"$6,000.00","26plt/ 27,222 Lb",
LD30273SH***,"Fairfield, CA","SECAUCUS, NJ",8/25/2022 @12:30:00,"$6,400.00","12plt/ 29,371Lb",LD SH
50842594,MODESTO CA,MANCHESTER CT,8/26/2022 @13:00:00,$7.125.00,"27plt/ 3,402 lb",
1597284,"West Sacramento, CA","Bloomfield, CT",08/24/2022,$100.00,LOAD OUT,
T2585749***,HAYWARD CA,"Norwalk,OH",8/22/2022 8:00-17:00,$5.500.00,12 PLT 5600LB,
LD30272SH***,"Fairfield, CA","SECAUCUS, NJ",8/25/2022 @10:30:00,"$6,400.00","11plt/ 27,060 Lb",LD SH
214625***,"RENO, NV","ISLANDIA, NY",8/25/2022 @ 1330,$7.500.00,25 PC 4300 LB,
50757061,MODESTO CA,NAZARETH PA,8/25 @1100,"$7,200.00","30plt/ 5,898 Lb",
1060760***,"STOCKTON, CA","BUFFALO GROVE, IL",8/26 @0700-1000,"$4,000.00","24plt/ 9,606 Lb",
50795993***,FERNLEY NV,HURON OH,8/25/2022 0800 - 150,"$5,000.00","24 pallets 25,080 lb",
SL211388278***,"GILROY, CA","CEDAR RAPIDS, IA",8/25 @1000,"$3,771.00","8plt/ 15,288 Lb",
T2585665***,HAYWARD CA,GRAND JUNCTION CO,8/23/2022 8:00-17:00,$3.200.00,12 PLT 5800LB,
2062844***,GILROY CA,WISCONSIN RAPI WI,8/26 @1330,"$4,600.00","7 plt/ 12, 800 Lb",
3606576***,"RENO, NV","NEW BUFFALO, MI",8/26/22 - 8am,"$4,200.00",45PC 4000LB,
1186038***,"HAYWARD, CA","Des Moines, IA",8/26/2022 11:00,"$3,900.00","13plt/ 10,636 Lb",
0132934**,SALINAS CA,DES MOINES IA,8/26 @0930,"$4,700.00","14plt/ 19,734 Lb",
1657452***,"RENO, NV","NEW ORLEANS, LA",8/24/22 - 8:30am,$4.800.00,8 PC 2200 LB,
#0021887***,"Winters,CA  Vacaville ,CA","Rosenberg,TX",8/25/2022 8:00 8/25/,$3.800.00,"4 PLT 2,200LB",
1060588***,"TURLOCK, CA","PARIS, TX",8/24/2022 @13:00:00,"$3,300.00","28plt/ 16,240 Lb",Lumper $
27378685***,"Patterson, CA","Plano, TX",8/26 @0800,"$4,000.00","24plt/ 27,648 Lb",
308969***,"Reno, NV","Edmond, OK",08/25/2022 13:00,"$4,210.00","11PLT 15,600LB",Lumper $
3381720***,"RENO, NV","BILOXI, MS",8/25/22 - 8;30am,$4.900.00,22PC 2500 LB,
1060694****,"FIREBAUGH, CA","Gretna, LA",8/26 @1200,"$4,000.00","9plt/ 11,354 Lb",
NWI69233,"GLENDALE, CA","HAMILTON, ON",08/27/2022,"$50,000.00",nan,NWI
NWI69234,"GLENDALE, CA NORTH LAS VEGAS, NV","HAMILTON, ON",08/27/2022,"$50,000.00",nan,NWI
456656,"Reno, NV","BOW, WA",09/02/2022 15:30,$4.000.00,20 PC 3800 LB,
456735,"Reno, NV","PIERRE, SD",08/30/2022,"$5,000.00",1 slot machine 277 lb,
# 0449444***,RICHMOND CA,SANDUSKY OH,8/29/2022 14:00,$5.000.00,"17PLT 30,100 LB",
1060852,"FRESNO, CA","WYOMING, MI",08/30/22 @1000,"$5,000.00","22plt/ 33,220 Lb",
# 0679706***,WINTERS CA,BATAVIA IL,8/30 @1000,$4.406.71,"9plt/ 6,480 Lb",Lumper $
1060778,"MERCED, CA Gilroy, CA","HUNT VALLEY, MD",8/30/2022 8/31 @0900,"$6,600.00","20plt/ 18,134 Lb",
50776801,MODESTO CA,BLOOMFIELD CT,8/31 @1100,"$7,100.00","30plt/ 6,150 Lb",
1060909,"STOCKTON, CA","BUFFALO GROVE, IL",9/1 @1200,"$4,000.00","21plt/ 8,423 Lb",
12164666    lumper paid by driver  $ 280,"Lodi, CA","Maple Heights, OH",9/1 @0745,"$5,100.00","11plt/ 27,540 Lb",lumper paid by driver $
AGRO6297601***,"Rohnert Park, CA","La Crosse, WI",8/31 @0800-1500,"$4,200.00","17,982 Lb",AGRO
50899668,FERNLEY NV,HURON OH,09/01/2022 8:00,"$5,000.00","24 pallets 25,080 lb",
457614,Reno NV,"WINNIPEG, MB",09/02 7:00 AM,"$7,000.00",nan,
1060896*,"TURLOCK, CA","SAGINAW, TX** CLEVELAND, OH**",08/31/22 11:00,"$5,500.00","10plt/ 13,366 Lb",
1060883,"GILROY, CA","LEBANON , OH",9/2 @1300,"$4,700.00","9plt/ 19,152 Lb",
83440,"MCFARLAND, CA","RONKONKOMA, NY",9/1 @1000,"$7,500.00","21plt/ 40,900 Lb",
455693,"Reno, NV","JEFFERSON CITY, MO",9/2/2022 1100,$4.000.00,2 PC 600 LB,
455525,"RENO, NV","CRIPPLE CREEK, CO",9/2/2022 10:30 AM,$3.700.00,6 PC  1550LB,
1060890,"GILROY, CA","HUNT VALLEY, MD",9/1/2022 @12:00,"$6,400.00","26plt/ 27,222Lb",
1060885,"GILROY, CA","HUNT VALLEY, MD",9/1/2022 @11:30:00,"$6,400.00","26plt/ 27,222Lb",
1060886,"MERCED, CA","HUNT VALLEY, MD",09/01/2022 @ 1200,"$6,400.00","45 pallets 12,419 lb",
83326,"HEALDSBURG, CA","RONKONKOMA, NY",8/31 @0800,"$7,500.00","22plt/ 40,900 Lb",
83441,"MCFARLAND, CA","MEDLEY, FL",9/2 @1000,"$7,500.00","22plt/ 40,900 Lb",
83326,"RENO, NV","ELKVIEW, WV",9/1/2022 0930,$6.815.00,40 PC  5000 LB,
1060801,"GILROY, CA","NORCROSS, GA",8/29,"$5,000.00","28plt/ 34,894 Lb",Lumper $
34935,SPARKS NV,"Davie, FL",08/31/2022 @ 0800-14,"$7,000.00","16 pallets 7,850 lb",
LD67015***,AMERICAN CANYON CA,ORLANDO FL,09/01/2022 9:00 AM,"$7,500.00","10 pallets 21,420 lb",
27428308,"Richmond, CA","Atlanta, GA",09/01/2022 @1600,"$6,000.00","26/13,579 Lb",
83498,"Napa, CA","RONKONKOMA, NY",9/2 @1230,"$7,000.00","11plt/ 20,540 Lb",
AA91747,Sparks NV,Tucker GA,9/2 @0700,"$3,800.00",10plt/ 5000 lbs,
4049665,"Benicia,CA","DORAVILLE, GA ATLANTA, GA NORCROSS, GA",09-02-2022 13:00,$7.700.00,43.000Lb,
4048545,"Benicia,CA","ATLANTA, GA ATLANTA, GA CHARLESTON, SC N CHARLESTON, SC",9/2,"$8,500.00",nan,
34958,SPARKS NV,HAMLET NC,8/31,"$5,500.00","20plt/ 17,000 lb",
1061007,"GILROY, CA","MT PLEASANT, TX",9/2 @1400,"$3,500.00","7plt/ 8,831 Lb",
50962450***,SALINAS CA,NORTH ANDOVER MA,9/6/2022 @1600,"$7,350.00","5 pc/ 1,500 Lb",
1060935***,"GILROY, CA","BELCAMP, MD",9/2 @1200 09/03/2022,"$6,400.00","25plt/ 26,200 Lb",
3317977***,"Chowchilla, CA","Norristown, PA",9/6 @0800,"$6,800.00","27plt/ 14,962 Lb",
457250***,"Reno, NV","MISSISSAUGA, ON",09/07/2022 11:00 (ES,"$7,122.50","8,657 lb",
9630825,"Fresno,CA","Newark,NJ",9/7/2022 11:00 AM,$5.800.00,"10plt/ 22,680LB",
50978620***,MODESTO CA,CARNEYS POINT NJ,09/08/2022 13:00,$7.200.00,24PLT 3700LB,
507730***,"West Sacramento, CA","Pine Brook, NJ",9/9/2022 @0730am,"$7,300.00","18plt/ 38,000 Lb",
1061094***,"FIREBAUGH, CA","HUNT VALLEY, MD",09/07/22 @1200,"$6,000.00","25plt/ 31,540 Lb",
T2593706***,HAYWARD CA,MEADVILLE PA,9/6/2022 9:00-17:00,$5.000.00,10 PLT 5100 LB,
12232417***,"Salinas, CA","Philadelphia, PA",9/8 @1200-1400,"$6,400.00","12plt/ 13,244 Lb",
83504,"MODESTO, CA","RONKONKOMA, NY",9/6 @1435,"$7,000.00","11plt/ 23,830 Lb",
1061186,"GILROY, CA","ROSEDALE, MD",9/8 @1130,"$6,000.00","14plt/ 16,523 Lb",
2937601***,"Reno,NV","Harrisburg, PA",9/9/2022 14:00,$5.700.00,"26plt/ 10,444 Lb",
507729***,"West Sacramento, CA","Pine Brook, NJ",9/9/2022 @0730am,"$7,300.00","18plt/ 38,000 Lb",
60103635384***,"MCCARRAN, NV","Avon, IN",09/08/2022 0700-1530,"$4,700.00","20 peices 5,300 lb",
11549229***,"FIREBAUGH, CA","ELGIN, SC",9/9 @1000,"$5,200.00","28plt/ 16,912 Lb",
1061052***,"TURLOCK, CA","LIMA, OH",9/7 @1200,"$4,200.00","14plt/ 17,192 Lb",
27531327***,"Reno, NV","Hebron, KY",09/08/2022 @0800-150,"$4,000.00","26plt/ 24,310 Lb",
T2593702,HAYWARD CA,ABILENE TX,9/6/2022 9:00-17:00,$3.600.00,"12 PLT Weight: 5,139",
#0133061,"Gilroy, CA","Atlanta, GA",9/7 @ 1130 9/8,"$5,200.00","26plt/ 27,222 Lb",
3309293,"Hayward, CA","Houston, TX",9/6/2022 @ 9:30:00,"$3,700.00","14 ptl 2,904lb",
#0133080,"Gilroy, CA Merced, CA","Atlanta, GA",9/8 @0800,"$5,400.00","30 plt 29,438 Lb",
458140,"Reno,NV","WINNIPEG, MB",9/10/2022 @0900 loca,$7.000.00,48 PC 13500LB,
455014,"Reno , NV","TEMECULA, CA",09/09/2022 10:30,$2.192.50,30 PC,
449723,"Reno , NV","Elk Grove ,CA",9/9/2022 11:00 AM,$1.827.50,40 PC,
4053464,"BENICIA, CA","NASHVILLE, TN X4",09-09-2022 13:00,$8.100.00,WINE 42500 LB,
455017,"RENO, NV","TEMECULA, CA",09/13/2022 9:30,$2.000.00,16 PIECES 4800,
4056234,"Benicia,CA","LA VERGNE, TN WORTHINGTON, OH",09-16-2022 13:00 - 1,$7.000.00,43000Lb WINE,
T2595384,HAYWARD CA,RONKS PA,9/12/2022,$6.400.00,11 PLT 5000 LB,
T2595385,HAYWARD CA,POTTSTOWN PA,9/12/2022,$6.400.00,11 PLT 5000 LB,
T2595386,HAYWARD CA,WARRENTON VA,9/12/2022,$6.000.00,11 PLT 5000 LB,
T2595383,HAYWARD CA,LIBERTY NY,9/12/2022,$6.100.00,10 PLT 5000 LB,
51041420,WOODLAND CA,YORK PA,9/12/2022  @8:00:00,"$6,460.49","22 plt/ 29,350 Lb",
T2595382,HAYWARD CA,KING GEORGE VA,9/12/2022,$6.100.00,10 PLT 5000 LB,
51041551,WOODLAND CA,YORK PA,9/12/2022  @8:00:00,"$6,100.00","20 plt/ 28,350 Lb",
12242862,"Gilroy, CA","Hunt Valley, MD",9/13 @0800,"$6,400.00","11plt/ 22,748 Lb",
1061425,"Gilroy, CA","Hunt Valley, MD",9/14 @1230,"$6,400.00","26plt/ 27,222 Lb",
83614,"SONOMA, CA","RONKONKOMA, NY",9/9 @1000,"$7,000.00","20 plt/ 40,200 Lb",
27563194,"Sparks, NV","Harrisburg, PA",09/13/2022 @ 1500,"$7,300.00","52plt/ 23,504 Lb",
9792770,"ELK GRV, CA","CHEEKTOWAGA, NY",9/14 @1330,"$7,000.00","15plt/ 15,000 Lb",
1061420,"FIREBAUGH, CA","HUNT VALLEY, MD",09/14/22 @1200,"$6,400.00","11plt/ 10,943 lb",
51093638***,WOODLAND CA,YORK PA,9/16 @0800-1400,"$6,100.00","22plt/ 28,325 Lb",
1061457***,"Gilroy, CA","Hunt Valley, MD",9/16/2022 @10:00:00,"$6,200.00","26plt/ 27,222 Lb",Rejected Bugs
3344458***,"Fresno, CA","York, PA",9/16 @0700,"$6,000.00","9plt/ 22,100 Lb",
35196***,SPARKS NV,"Wilmington, NC",9/13 @by 8pm,"$5,500.00","26plt/ 6,700 Lb",
10196961***,"GILROY, CA","Champagn, IL",9/16 @1200,"$4,450.00","24,582 Lb",
12273117***,"Fernley, NV","Adrian, MI",09/16/2022,"$1,600.00",1 long bar,
1061297***,"HUGHSON , CA","BOLINGBROOK, IL",9/15 @1300,"$3,600.00","26 PLT  12,000 Lb",
#0024164***,"Vina,CA","Webberville,MI",9/12/2022 12:00,$4.984.00,"38plt/ 21,700 LB",
T2595171***,SAN LEANDRO CA,NEW CASTLE IN,9/15/2022 9:00-10:00,$4.650.00,1 PC 8100LB,
1655565***,"Fowler, CA","Millersburg, OH",9/15 @0930-1600,"$5,000.00","7plt/ 15,435 Lb",
10200542***,"SF, CA","Gahanna, OH",9/15 @0700-1600,"$4,550.00","8plt/ 20,440 Lb",
1061292***,"LOS BANOS, CA","BELOIT, WI",09/13/22 by15:00,"$4,300.00","8plt/ 15,000 lb",
1061224,"GILROY, CA","PINE ISLAND, MN",9/16 @1300,"$4,000.00","7plt/ 14,896 Lb",
27571279***,"Fremont, CA","Hodgkins, IL",9/14 @2349,"$10,725.00",nan,
1061287***,"FIREBAUGH, CA","Atlanta, GA",9/13 @1200,"$5,000.00","26plt/ 27,222 Lb",
5916676***,"OAKLAND, CA","RINCON, GA",9/14 @0900,"$6,100.00","24plt/ 3,000 Lb",
459153***,"Reno,NV","ACWORTH, GA",09/14/2022 12:00,$7.400.00,50 PC  13.250LB,
51000836***,FERNLEY NV,OAKWOOD GA,09/14/2022 0800-1400,"$5,300.00","28 plt/ 29,260 Lb",
459128***,"Reno,NV","METAIRIE, LA",9/15/2022 1100,$6.000.00,55 PIECES 15235 lbs.,
458918***,"Reno,NV","PORTERVILLE, CA",9/20/2022 0800,$2.180.00,4 PC 400 LB,
458920***,"Reno,NV","PORTERVILLE, CA",9/20/2022 11:00,"$4,100.00",30 PIECES 934,
