Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
779118,HAYWARD CA,VALLEY AL,6/24 @1300,"$6,700.00","9crates/ 8,695 Lb",
8170260,"Lathrop, CA","Jacksonville, FL",6/25 @0600,"$7,500.00","30plt/ 42,500 lb",
2H06502,"W Sacramento, CA","Fort Worth, TX",6/24/2021 @2pm,"$5,000.00",15 plt/ 27819lb (Coke Product) don't hav,
23730123,"Reno, NV","Palestine, TX",6/25@3:30pm,"$4,500.00","2,310 lbs",
923621,HAYWARD CA,ROUND ROCK TX,6/25 @0800-1600,"$3,750.00","3 crates + 1 ladder /26 feet / 6,000 lb",
10098242,"Fairfield, CA","Newark, NJ",9/29 @1200,$150.00,"beer 32,540 Lb",New
2454388***,"Visalia, CA","Greencastle, PA",6/28/2021 14:00,"$7,900.00","Pet Food : 28 plt / 23,188.00 lbs",
load # 2J39916***,"SPARKS, NV","LOGAN TOWNSHIP, NJ",6/28 @1300,"$7,800.00",2050 Lb/ 1 pallet,
#10496***,"Lodi, CA","Hidalgo, TX",6/29/2021 by15:30,"$5,000.00","15 pallets 8,353lb",
12174225***,"Alameda, CA","Sanger, TX",6/30/2021 7-18:00,"$1,200.00",4240 lbs/ 8 pallets,
104518,"Lathrop, CA","San Antonio, TX",6/30/2021,"$3,500.00","11 psallets 19,800lb",
F062902***,"Newark, CA","East Rutherford, NJ",6/30 BY 4 P.M.,"$8,000.00","10pltand car 15,000 Lb",
342650***,"Windsor, CA","Glen Rock, NJ",7/1 @1100,"$10,000.00","21plt/ 43,000",
#0031582***,UNION CITY CA,FULTON MD,6/30 @1400-1700,"$8,200.00","18plt/ 21,100 Lb",
45102232,HAYWARD CA,BURLINGTON NJ,6/30/2021 9:00:00 - ,"$8,400.00","14 plt / 7,866 Pillow,T235, Classic GDD ",
C25PDU,Union City CA,Laurel MD** Totowa NJ Newark NJ  Queens NY,6/30 @0800-1500,"$10,500.00","11plt/ 14,000 Lb",C PDU
45119426,MODESTO CA,CARLISLE PA,6/30 @1300,"$8,300.00","60plt/ 7,399 Lb",
98FFTW,"WINTERS, CA","HINCKLEY, OH",7/1 @1200,"$7,000.00","18plt/ 16,480 Lb",FFTW
6464298,"RENO, NV","HUNT VALLEY, MD",6/30 @1400,"$7,250.00","18 plt/ 7,450 Lb",
31-0528078,"TERRA BELLA, CA","SUFFIELD, CT",7/1 @1300,"$8,800.00","4plt/ 7,000 Lb",
23805363,"Reno, NV","Somerset, NJ",07/02/2021 @1100-130,"$7,000.00","19plt/ 18,000 lb",
44933649,SANTA ROSA CA,JERSEY CITY NJ,7/2/2021 @7:00:00-15,"$10,500.00","15plt/ 33,688 Lb",
10344306,"Sparks, NV","Minersville, PA",7/01 @1200,"$6,700.00","18plt/ 4,000Lb",
Rostik,"Sacraemnto, CA",NJ,nan,"$1,600.00",2 crates,Rostik
EJAP2S,Lodi CA,Aurora CO South Brunswick Township NJ,6/30/2021 9:00,"$9,000.00","12 plt, 30,480 lb tomatoes  40x48x48",EJAP S
6739487,"MERCED,CA","HUNT VALLEY,MD",7/2/2021 10:00,"$7,800.00","45 plt/ 12,419 lb Spices",
755605,"FIREBAUGH, CA","INDEPENDENCE, MO",07/02/2021 13:00,"$5,300.00",26 plt / 18170 lb spices,
1047177,"GILROY, CA","FLOWOOD , MS",7/1/2021@1130,"$6,500.00","12 plt/ 14,955",
M4JR5U,Union City CA,Conley GA** Montezuma GA,7/2 @0800,"$8,000.00",7plt/,M JR U
45178886,"SALINAS, CA","COLUMBUS, GA",7/1 @0900-1500,"$6,200.00","29 feet/ 8,811 Lb",
Rostik,"Sacraemnto, CA",GA,nan,"$1,600.00",2 crates,Rostik
5KR6QL,Union City CA,Farmers Branch TX Dallas TX Irving TX Grand Prairie TX,7/1 @1400,"$6,000.00","16plt/ 18,000 Lb",KR QL
818109927,"Tracy, CA","Grand Prairie, tX",7/2/2021 4:00:00 a.m,"$3,500.00",12plt/ 8768,
Y2K-NCBZ,SACRAMENTO CA,"Garland, TX",7/2/2021@1300,"$3,000.00","7 Plt/ 10,200 lb Printed food cartons",Y K NCBZ
2204093***,"FOWLER, CA MARICOPA, CA","DENVER, CO",07/09/21,"$6,000.00",21 plt,
345102***,"Windsor, CA","Glen Rock, NJ",07/07@1000,"$10,000.00","22plt/ 43,000",
2439778***,LATHROP CA,ALLENTOWN PA,7/6/2021 6-14:00,"$8,000.00","10 plts / 3,230lb",
1047239***,"MERCED, CA","HUNT VALLEY, MD",7/7 @1000,"$7,600.00","11plt/ 4,977lb",
23752833**,"Gilroy, CA","Dover, DE",7/07 @1000,"$8,000.00","15plt/ 19,324 Lbs",
45217578***,MODESTO CA,CARNEYS POINT NJ,07/07 @1300,"$8,000.00","24plt/ 4,500 Lb",
QCQEPZ***,"WINTERS, CA VACAVILLE, CA","OAK CREEK, WI",7/8 @1000,"$6,900.00","18plt/ 17,036Lb",QCQEPZ
LYJQHD***,"WINTERS, CA","SPRINGFIELD, OH",7/8 @1300,"$6,300.00","18plt/ 20,280 lb",LYJQHD
2463946***,"Visalia, CA","Black Mountain, NC",7/8/2021 @1000,"$6,800.00","11,550.00 lbs",
2461772***,"Visalia, CA","Dunn, NC",7/8 @1300,"$7,300.00","29,956.00 lbs",
2461799***,"Visalia, CA","Elloree, SC",7/8 @1700,"$7,200.00","22,379.00 lbs",
2460409***,"Visalia, CA","Salisbury, NC",7/8/2021 @14:00:00,"$7,300.00","16,701.00 lbs",
Rostik,"Sacramento, CA","Atlanta, GA",nan,?,1 crate,Rostik
45241781***,SANGER CA,HARRISBURG PA,07/07 @1300,"$8,000.00","11plt/ 17,250 Lb",
45242120***,MODESTO CA,MOUNTAIN TOP PA,7/07 @1200-1600,"$7,900.00","20plt/ 28,000 Lb",
7755835***,"PETALUMA, CA","SWEDESBORO, NJ",7/9 @0900-1400,"$5,300.00","10plt/ 5,460 Lb",
345828***,"Benicia, CA","North Haven, CT",07/09/2021 @1200,"$11,000.00","20plt/ 42,500 Lb",
